timestamp,open,high,low,close,volume,close_time,quote_volume,trades
1774087200000,70674.96000000,70674.96000000,70672.96000000,70672.96000000,0.00085000,1774088099999,60.07343600,2
1774088100000,70642.94000000,70642.94000000,70642.94000000,70642.94000000,0.00065000,1774088999999,45.91791100,1
1774089000000,70607.71000000,70607.71000000,70607.71000000,70607.71000000,0.00637000,1774089899999,449.77111270,1
1774089900000,70607.71000000,70607.71000000,70607.71000000,70607.71000000,0.00000000,1774090799999,0.00000000,0
1774090800000,70616.19000000,70616.19000000,70577.74000000,70577.74000000,0.00219000,1774091699999,154.60926560,9
1774091700000,70605.91000000,70605.91000000,70602.71000000,70602.71000000,0.00157000,1774092599999,110.84807870,2
1774092600000,70563.93000000,70617.44000000,70563.93000000,70601.43000000,0.00439000,1774093499999,309.87135180,3
1774093500000,70631.95000000,70636.50000000,70620.10000000,70622.73000000,0.00136000,1774094399999,96.05189730,7
1774094400000,70687.80000000,70737.83000000,70678.70000000,70737.83000000,0.00214000,1774095299999,151.31096620,7
1774095300000,70708.07000000,70796.40000000,70708.07000000,70796.40000000,0.01329000,1774096199999,939.86175220,4
1774096200000,70764.66000000,70764.66000000,70764.66000000,70764.66000000,0.01420000,1774097099999,1004.85817200,1
1774097100000,70737.93000000,70741.47000000,70729.08000000,70729.08000000,0.00560000,1774097999999,396.14968320,3
1774098000000,70747.99000000,70768.48000000,70720.77000000,70748.48000000,0.01368000,1774098899999,967.84401310,14
1774098900000,70760.04000000,70760.04000000,70760.04000000,70760.04000000,0.00007000,1774099799999,4.95320280,1
1774099800000,70783.67000000,70791.97000000,70755.18000000,70755.18000000,0.00435000,1774100699999,307.89452720,6
1774100700000,70720.74000000,70720.74000000,70716.73000000,70716.73000000,0.02763000,1774101599999,1953.90762080,4
1774101600000,70809.03000000,71086.48000000,70773.48000000,71030.47000000,0.40977000,1774102499999,29054.48881610,45
1774102500000,71030.49000000,71030.49000000,70962.26000000,70962.26000000,0.83868000,1774103399999,59527.09441120,8
1774103400000,70940.80000000,71014.72000000,70940.80000000,70952.33000000,0.02450000,1774104299999,1738.80384690,6
1774104300000,70942.40000000,70942.40000000,70633.77000000,70633.77000000,0.02013000,1774105199999,1422.76161660,5
1774105200000,70639.70000000,70650.35000000,70583.81000000,70638.27000000,0.05695000,1774106099999,4021.51916650,23
1774106100000,70466.94000000,70596.96000000,70466.94000000,70596.96000000,0.01039000,1774106999999,732.51071720,4
1774107000000,70682.28000000,70713.63000000,70682.28000000,70713.63000000,0.00188000,1774107899999,132.90494490,2
1774107900000,70654.25000000,70677.46000000,70645.13000000,70677.46000000,0.12160000,1774108799999,8591.01964840,8
1774108800000,70677.14000000,70677.14000000,70573.97000000,70586.68000000,0.00381000,1774109699999,269.15837020,13
1774109700000,70572.54000000,70629.45000000,70327.62000000,70400.19000000,0.07904000,1774110599999,5568.15380660,29
1774110600000,70421.92000000,70462.81000000,70376.88000000,70376.88000000,0.01482000,1774111499999,1043.01933760,6
1774111500000,70398.12000000,70415.64000000,70258.18000000,70280.00000000,0.12100000,1774112399999,8506.29999850,12
1774112400000,70294.36000000,70380.24000000,70233.72000000,70243.15000000,0.02300000,1774113299999,1616.84381950,22
1774113300000,70262.13000000,70402.97000000,70262.13000000,70389.60000000,0.00500000,1774114199999,351.64731690,10
1774114200000,70379.93000000,70409.60000000,70379.93000000,70403.21000000,0.00090000,1774115099999,63.35667750,5
1774115100000,70387.51000000,70387.51000000,70283.71000000,70335.15000000,0.09525000,1774115999999,6702.39041530,12
1774116000000,70332.33000000,70387.41000000,70313.17000000,70364.68000000,0.11215000,1774116899999,7890.15801770,23
1774116900000,70356.85000000,70440.52000000,70354.81000000,70383.39000000,0.02200000,1774117799999,1548.22301590,7
1774117800000,70420.68000000,70504.88000000,70420.68000000,70502.17000000,0.04877000,1774118699999,3437.24666490,7
1774118700000,70477.60000000,70477.60000000,70417.89000000,70417.89000000,0.00400000,1774119599999,281.72647590,4
1774119600000,70428.53000000,70451.63000000,70420.73000000,70420.73000000,0.03143000,1774120499999,2213.39121610,11
1774120500000,70437.65000000,70453.68000000,70429.91000000,70453.68000000,0.00872000,1774121399999,614.34134250,8
1774121400000,70428.20000000,70441.53000000,70327.37000000,70352.30000000,0.01948000,1774122299999,1371.89273130,23
1774122300000,70341.24000000,70388.20000000,70341.24000000,70388.20000000,0.00600000,1774123199999,422.11555420,14
1774123200000,70403.18000000,70453.91000000,70353.35000000,70447.72000000,0.11607000,1774124099999,8170.25014080,26
1774124100000,70409.84000000,70486.85000000,70367.84000000,70447.26000000,0.21875000,1774124999999,15408.07306680,25
1774125000000,70460.36000000,70485.87000000,70439.31000000,70439.31000000,0.00691000,1774125899999,486.94905740,14
1774125900000,70480.53000000,70491.78000000,70438.48000000,70472.36000000,0.10389000,1774126799999,7318.76391710,19
1774126800000,70454.13000000,70493.78000000,70375.54000000,70375.54000000,0.00717000,1774127699999,505.07079960,22
1774127700000,70390.68000000,70402.74000000,70353.62000000,70362.62000000,0.00318000,1774128599999,223.78580580,13
1774128600000,70368.61000000,70398.71000000,70343.60000000,70386.84000000,0.03356000,1774129499999,2361.96666230,13
1774129500000,70364.03000000,70364.03000000,70275.73000000,70348.22000000,0.01318000,1774130399999,927.17874350,15
1774130400000,70356.85000000,70356.85000000,70278.17000000,70307.82000000,0.06282000,1774131299999,4415.34985200,21
1774131300000,70310.08000000,70337.57000000,70278.49000000,70278.49000000,0.00463000,1774132199999,325.64499690,10
1774132200000,70290.27000000,70379.06000000,70265.07000000,70334.20000000,0.01148000,1774133099999,807.02176300,11
1774133100000,70282.59000000,70297.53000000,70282.59000000,70297.53000000,0.00203000,1774133999999,142.70084850,2
1774134000000,70252.00000000,70268.01000000,70153.66000000,70158.72000000,0.12546000,1774134899999,8805.80075730,16
1774134900000,70166.16000000,70166.16000000,70165.04000000,70165.04000000,0.00035000,1774135799999,24.55792080,2
1774135800000,70152.23000000,70152.23000000,70152.23000000,70152.23000000,0.00015000,1774136699999,10.52283450,1
1774136700000,70112.32000000,70117.39000000,68571.95000000,68747.47000000,1.40432000,1774137599999,97199.82020950,140
1774137600000,68803.76000000,68921.64000000,68330.43000000,68743.77000000,4.37644000,1774138499999,300128.70267510,84
1774138500000,68731.21000000,69027.29000000,68731.21000000,68778.92000000,1.10827000,1774139399999,76233.88444590,18
1774139400000,68959.46000000,69128.00000000,68959.46000000,69020.40000000,0.50146000,1774140299999,34632.99858870,29
1774140300000,69035.95000000,69119.15000000,68839.56000000,68916.57000000,0.69628000,1774141199999,48086.23890160,20
1774141200000,68993.65000000,69067.45000000,68880.43000000,68975.85000000,0.01906000,1774142099999,1315.12667570,21
1774142100000,68960.42000000,69067.52000000,68953.05000000,68978.78000000,0.09646000,1774142999999,6654.20561140,10
1774143000000,69072.72000000,69072.72000000,68822.34000000,68854.27000000,0.05940000,1774143899999,4092.40324750,12
1774143900000,68868.25000000,68965.81000000,68868.25000000,68965.81000000,0.01077000,1774144799999,742.38538430,3
1774144800000,69000.00000000,69072.16000000,68962.97000000,69071.27000000,0.01098000,1774145699999,757.69831280,21
1774145700000,69027.85000000,69419.99000000,68980.63000000,69419.99000000,0.28728000,1774146599999,19866.87383770,26
1774146600000,69255.00000000,69314.41000000,69232.98000000,69263.76000000,0.00149000,1774147499999,103.21037040,10
1774147500000,69237.83000000,69327.90000000,69184.81000000,69306.55000000,0.14137000,1774148399999,9785.15238470,10
1774148400000,69294.29000000,69339.04000000,69120.75000000,69339.04000000,0.01578000,1774149299999,1092.64240380,20
1774149300000,69349.20000000,69519.90000000,69286.25000000,69519.90000000,0.00302000,1774150199999,209.73127550,7
1774150200000,69519.58000000,69559.98000000,69408.62000000,69408.62000000,0.02599000,1774151099999,1805.08788250,8
1774151100000,69294.44000000,69335.78000000,69288.56000000,69335.78000000,0.02335000,1774151999999,1618.08565920,8
1774152000000,69368.44000000,69463.15000000,69368.44000000,69424.54000000,0.04380000,1774152899999,3040.69034550,10
1774152900000,69503.98000000,69512.44000000,69503.98000000,69512.44000000,0.00130000,1774153799999,90.35741140,3
1774153800000,69238.16000000,69317.02000000,69238.16000000,69317.02000000,0.05660000,1774154699999,3919.47217700,4
1774154700000,69365.40000000,69365.40000000,69336.59000000,69358.08000000,0.04063000,1774155599999,2817.15489140,5
1774155600000,69320.44000000,69320.44000000,69231.18000000,69257.83000000,0.13181000,1774156499999,9131.61103930,12
1774156500000,69219.30000000,69247.67000000,69194.44000000,69223.79000000,0.00118000,1774157399999,81.67732760,5
1774157400000,69199.10000000,69201.88000000,69158.66000000,69201.88000000,0.01075000,1774158299999,743.88648760,10
1774158300000,69229.54000000,69243.03000000,69202.42000000,69205.90000000,0.11421000,1774159199999,7907.44380910,7
1774159200000,69158.66000000,69184.46000000,69109.77000000,69126.12000000,0.01427000,1774160099999,986.63105340,13
1774160100000,69209.34000000,69209.34000000,69150.51000000,69150.51000000,0.03591000,1774160999999,2483.23246530,2
1774161000000,69159.33000000,69214.76000000,69159.33000000,69208.07000000,0.00274000,1774161899999,189.60594270,3
1774161900000,69188.26000000,69188.26000000,69152.91000000,69170.12000000,0.00250000,1774162799999,172.93659570,4
1774162800000,69164.23000000,69219.02000000,69143.91000000,69176.72000000,0.01479000,1774163699999,1023.16021840,13
1774163700000,69216.08000000,69216.08000000,69213.44000000,69213.44000000,0.00203000,1774164599999,140.50344160,2
1774164600000,69110.00000000,69110.00000000,68998.18000000,68998.18000000,0.32477000,1774165499999,22441.13526190,12
1774165500000,68921.64000000,68921.64000000,68910.64000000,68910.64000000,0.00908000,1774166399999,625.78660120,2
1774166400000,68900.00000000,68929.67000000,68737.84000000,68920.46000000,0.06164000,1774167299999,4244.14097920,13
1774167300000,68797.36000000,68816.38000000,68596.52000000,68616.60000000,0.14996000,1774168199999,10292.25162420,10
1774168200000,68585.80000000,68771.82000000,68585.80000000,68759.75000000,0.03594000,1774169099999,2470.80916600,9
1774169100000,68759.75000000,68759.75000000,68759.75000000,68759.75000000,0.00000000,1774169999999,0.00000000,0
1774170000000,68859.64000000,68859.64000000,68835.59000000,68835.59000000,0.00172000,1774170899999,118.40154380,2
1774170900000,68714.81000000,68791.88000000,68606.90000000,68661.01000000,0.00494000,1774171799999,339.43802640,8
1774171800000,68689.11000000,68744.06000000,68652.88000000,68744.06000000,0.00260000,1774172699999,178.67113380,4
1774172700000,68837.69000000,68837.69000000,68837.69000000,68837.69000000,0.00038000,1774173599999,26.15832220,1
1774173600000,68841.63000000,68841.63000000,68714.14000000,68714.14000000,0.00573000,1774174499999,394.00578810,5
1774174500000,68723.73000000,68723.73000000,68707.30000000,68722.18000000,0.01273000,1774175399999,874.84730030,4
1774175400000,68801.18000000,68801.18000000,68640.26000000,68694.55000000,0.03502000,1774176299999,2405.68680370,5
1774176300000,68598.99000000,68672.58000000,68598.99000000,68672.58000000,0.01562000,1774177199999,1072.14164710,5
1774177200000,68619.65000000,68681.10000000,68619.64000000,68664.09000000,0.07345000,1774178099999,5040.13314800,9
1774178100000,68649.54000000,68649.54000000,68407.25000000,68407.25000000,0.19546000,1774178999999,13384.78296010,18
1774179000000,68330.76000000,68410.67000000,68330.43000000,68410.67000000,0.02816000,1774179899999,1924.35140630,7
1774179900000,68357.39000000,68396.69000000,68136.17000000,68266.11000000,0.01654000,1774180799999,1128.03560580,21
1774180800000,68293.80000000,68339.71000000,68204.70000000,68339.71000000,0.00261000,1774181699999,178.22938960,10
1774181700000,68370.14000000,68737.84000000,68370.14000000,68737.84000000,0.01148000,1774182599999,785.82440550,9
1774182600000,68619.26000000,68622.64000000,68619.26000000,68622.64000000,0.00125000,1774183499999,85.77819320,3
1774183500000,68617.24000000,68646.00000000,68617.24000000,68646.00000000,0.00035000,1774184399999,24.01993020,3
1774184400000,68751.08000000,68921.64000000,68751.08000000,68819.91000000,0.03566000,1774185299999,2457.02960560,19
1774185300000,68846.76000000,68846.76000000,68783.36000000,68783.36000000,0.00205000,1774186199999,141.01220520,3
1774186200000,68562.23000000,68562.23000000,68562.23000000,68562.23000000,0.00013000,1774187099999,8.91308990,1
1774187100000,68678.89000000,68703.86000000,68678.89000000,68703.86000000,0.00613000,1774187999999,421.01807590,2
1774188000000,68751.75000000,68808.42000000,68598.92000000,68786.04000000,0.01413000,1774188899999,970.28649920,15
1774188900000,68790.23000000,68810.13000000,68781.09000000,68806.39000000,0.02363000,1774189799999,1625.95056750,4
1774189800000,68862.50000000,68864.92000000,68835.20000000,68835.20000000,0.02103000,1774190699999,1447.73849300,4
1774190700000,68812.50000000,68812.50000000,68655.56000000,68721.95000000,0.06558000,1774191599999,4505.66265410,10
1774191600000,68772.58000000,68914.20000000,68750.60000000,68889.36000000,0.14619000,1774192499999,10065.60697810,22
1774192500000,68953.00000000,69004.88000000,68895.14000000,68912.59000000,0.05228000,1774193399999,3601.98279460,8
1774193400000,68849.03000000,68849.03000000,68748.22000000,68748.22000000,0.01710000,1774194299999,1176.47786620,3
1774194300000,68783.84000000,68827.70000000,68783.84000000,68827.70000000,0.00436000,1774195199999,299.98224140,3
1774195200000,68861.86000000,68885.45000000,68783.18000000,68803.23000000,0.01137000,1774196099999,782.54236010,11
1774196100000,68805.42000000,68805.42000000,68736.92000000,68736.92000000,0.00787000,1774196999999,541.46749270,4
1774197000000,68759.69000000,68759.69000000,68759.69000000,68759.69000000,0.00296000,1774197899999,203.52868240,1
1774197900000,68795.46000000,68824.36000000,68795.46000000,68824.36000000,0.02539000,1774198799999,1747.41350840,4
1774198800000,68819.54000000,68850.02000000,68805.19000000,68849.59000000,1.37156000,1774199699999,94416.70224350,25
1774199700000,68802.58000000,68832.21000000,68770.00000000,68832.21000000,0.14903000,1774200599999,10248.90590660,16
1774200600000,68794.76000000,68832.28000000,68730.26000000,68730.26000000,0.05422000,1774201499999,3729.55348520,5
1774201500000,68665.78000000,68738.56000000,68665.78000000,68702.57000000,0.02420000,1774202399999,1662.55181730,4
1774202400000,68633.98000000,68726.60000000,68617.52000000,68721.65000000,0.03529000,1774203299999,2423.12237950,25
1774203300000,68698.61000000,68698.61000000,68689.01000000,68689.01000000,0.00731000,1774204199999,502.11944710,2
1774204200000,68715.58000000,68715.58000000,68379.53000000,68463.43000000,0.45573000,1774205099999,31302.52081340,21
1774205100000,68450.35000000,68615.00000000,68450.35000000,68615.00000000,0.01934000,1774205999999,1324.92624160,8
1774206000000,68615.00000000,68615.00000000,68330.43000000,68330.43000000,0.12532000,1774206899999,8573.06322760,20
1774206900000,68373.91000000,68373.91000000,68332.40000000,68368.53000000,0.00886000,1774207799999,605.75449200,3
1774207800000,68328.48000000,68439.27000000,68236.45000000,68391.49000000,0.07634000,1774208699999,5216.25141860,9
1774208700000,68373.28000000,68373.28000000,68187.50000000,68230.38000000,0.05767000,1774209599999,3937.51207260,7
1774209600000,68324.90000000,68337.61000000,68288.98000000,68337.61000000,0.12316000,1774210499999,8413.92859930,11
1774210500000,68356.39000000,68469.71000000,68306.00000000,68306.00000000,0.02210000,1774211399999,1511.88964580,8
1774211400000,68312.89000000,68312.89000000,68239.69000000,68239.69000000,0.00612000,1774212299999,417.90633330,4
1774212300000,68354.06000000,68354.06000000,68100.00000000,68195.02000000,0.02757000,1774213199999,1878.67096610,13
1774213200000,68191.23000000,68194.47000000,67595.22000000,67753.20000000,1.80210000,1774214099999,122005.01881140,84
1774214100000,67753.20000000,67847.61000000,67377.05000000,67847.61000000,0.34732000,1774214999999,23491.07529270,40
1774215000000,67788.17000000,67941.16000000,67706.74000000,67890.91000000,0.21911000,1774215899999,14853.54297060,10
1774215900000,67837.23000000,67855.83000000,67821.96000000,67855.83000000,0.03355000,1774216799999,2275.84857200,7
1774216800000,67888.27000000,68042.05000000,67614.23000000,67950.60000000,0.12274000,1774217699999,8318.73111840,35
1774217700000,67847.64000000,68360.49000000,67847.64000000,68360.49000000,0.22067000,1774218599999,15036.09965850,20
1774218600000,68320.37000000,68320.37000000,68117.05000000,68117.05000000,0.09185000,1774219499999,6263.95034110,9
1774219500000,68117.05000000,68117.05000000,68117.05000000,68117.05000000,0.00000000,1774220399999,0.00000000,0
1774220400000,68335.75000000,68426.57000000,68293.99000000,68373.20000000,0.06629000,1774221299999,4531.82103140,14
1774221300000,68352.03000000,68352.03000000,68175.14000000,68175.14000000,0.03931000,1774222199999,2683.09189400,6
1774222200000,68100.00000000,68100.00000000,68100.00000000,68100.00000000,0.00029000,1774223099999,19.74900000,1
1774223100000,67974.39000000,67974.39000000,67850.46000000,67865.47000000,0.03726000,1774223999999,2531.06458890,8
1774224000000,67973.97000000,68115.62000000,67799.56000000,68112.29000000,0.03834000,1774224899999,2604.99290450,17
1774224900000,67860.85000000,68142.86000000,67860.85000000,68106.14000000,0.06214000,1774225799999,4224.46057790,8
1774225800000,67857.14000000,67857.14000000,67462.39000000,67678.62000000,0.14571000,1774226699999,9860.20593760,33
1774226700000,67720.33000000,67857.14000000,67719.94000000,67744.86000000,0.01075000,1774227599999,728.25302080,10
1774227600000,67624.75000000,67925.42000000,67571.43000000,67862.23000000,0.02135000,1774228499999,1448.40120910,22
1774228500000,67894.54000000,68127.77000000,67894.54000000,68100.86000000,0.10355000,1774229399999,7048.99487130,12
1774229400000,68087.91000000,68127.77000000,68015.00000000,68015.00000000,0.20103000,1774230299999,13691.16866320,18
1774230300000,68071.39000000,68124.15000000,67946.23000000,67946.23000000,0.10043000,1774231199999,6830.75088490,15
1774231200000,67890.28000000,68041.88000000,67890.28000000,67900.52000000,0.02913000,1774232099999,1980.80000560,21
1774232100000,67863.05000000,68206.36000000,67863.05000000,68206.36000000,0.01648000,1774232999999,1119.71694290,10
